opportunity_id,opportunity_name,amount,stage,status,owner,created_date,close_date,last_stage
OPP-001,Enterprise CRM Implementation,245000,Closed Won,Won,Sarah Johnson,2025-08-22,2025-11-15,Negotiation
OPP-002,Marketing Automation Platform,89000,Proposal,Open,Michael Chen,2025-07-01,2026-02-10,Proposal
OPP-003,Cloud Infrastructure Upgrade,156000,Negotiation,Open,Jessica Martinez,2025-07-01,2026-01-25,Negotiation
OPP-004,Data Analytics Suite,412000,Closed Won,Won,David Thompson,2025-07-14,2025-12-20,Discovery
OPP-005,HR Management System,67000,Discovery,Open,Emily Rodriguez,2025-12-01,2026-03-15,Discovery
OPP-006,Customer Support Platform,123000,Demo,Open,Robert Kim,2025-11-10,2026-02-28,Demo
OPP-007,E-commerce Platform Migration,298000,Closed Lost,Lost,Sarah Johnson,2025-06-18,2025-10-30,Discovery
OPP-008,Mobile App Development,145000,Proposal,Open,Michael Chen,2025-10-22,2026-02-05,Proposal
OPP-009,Security Infrastructure Overhaul,387000,Negotiation,Open,Jessica Martinez,2025-07-01,2026-01-18,Negotiation
OPP-010,Business Intelligence Tools,278000,Closed Won,Won,David Thompson,2025-08-15,2025-12-08,Proposal
OPP-011,Collaboration Suite License,54000,Discovery,Open,Emily Rodriguez,2025-12-05,2026-03-20,Discovery
OPP-012,API Integration Services,91000,Demo,Open,Robert Kim,2025-11-08,2026-02-15,Demo
OPP-013,Legacy System Modernization,456000,Closed Won,Won,Sarah Johnson,2025-07-01,2025-11-28,Negotiation
OPP-014,DevOps Automation Platform,203000,Proposal,Open,Michael Chen,2025-10-30,2026-02-22,Proposal
OPP-015,Compliance Management System,134000,Closed Lost,Lost,Jessica Martinez,2025-07-20,2025-11-05,Proposal
OPP-016,Supply Chain Optimization,267000,Negotiation,Open,David Thompson,2025-07-01,2026-01-30,Negotiation
OPP-017,Customer Portal Development,78000,Discovery,Open,Emily Rodriguez,2025-11-28,2026-03-10,Discovery
OPP-018,Video Conferencing Solution,43000,Demo,Open,Robert Kim,2025-11-15,2026-02-18,Demo
OPP-019,ERP System Implementation,489000,Closed Won,Won,Sarah Johnson,2025-06-25,2025-12-15,Negotiation
OPP-020,Digital Marketing Platform,112000,Proposal,Open,Michael Chen,2025-10-20,2026-02-08,Proposal
OPP-021,Inventory Management System,156000,Closed Lost,Lost,Jessica Martinez,2025-06-30,2025-10-15,Discovery
OPP-022,Cybersecurity Assessment,87000,Negotiation,Open,David Thompson,2025-07-01,2026-01-22,Negotiation
OPP-023,Training Management Platform,62000,Discovery,Open,Emily Rodriguez,2025-12-08,2026-03-25,Discovery
OPP-024,Document Management System,95000,Demo,Open,Robert Kim,2025-11-12,2026-02-12,Demo
OPP-025,Cloud Storage Expansion,178000,Closed Won,Won,Sarah Johnson,2025-08-10,2025-12-02,Proposal
OPP-026,CRM Customization Services,121000,Proposal,Open,Michael Chen,2025-11-01,2026-02-20,Proposal
OPP-027,Network Infrastructure Upgrade,234000,Negotiation,Open,Jessica Martinez,2025-09-22,2026-01-28,Negotiation
OPP-028,AI Chatbot Implementation,98000,Discovery,Open,David Thompson,2025-11-25,2026-03-05,Discovery
OPP-029,Performance Monitoring Tools,76000,Demo,Open,Emily Rodriguez,2025-11-18,2026-02-25,Demo
OPP-030,Payment Gateway Integration,145000,Closed Won,Won,Robert Kim,2025-08-05,2025-11-22,Discovery
OPP-031,Content Management System,187000,Closed Lost,Lost,Sarah Johnson,2025-07-28,2025-11-10,Discovery
OPP-032,Database Migration Services,223000,Proposal,Open,Michael Chen,2025-10-25,2026-02-14,Proposal
